Country,ISO3 Code,Date,Price (EUR/MWhe)
Austria,AUT,2016-10-15,32.54
Austria,AUT,2016-10-16,33.53
Austria,AUT,2016-10-17,42.03
Austria,AUT,2016-10-18,39.9
Austria,AUT,2016-10-19,40.46
Austria,AUT,2016-10-20,40.69
Austria,AUT,2016-10-21,39.93
Austria,AUT,2016-10-22,37.45
Austria,AUT,2016-10-23,34.57
Austria,AUT,2016-10-24,42.23
Austria,AUT,2016-10-25,52.88
Austria,AUT,2016-10-26,44.95
Austria,AUT,2016-10-27,39.21
Austria,AUT,2016-10-28,36.17
Austria,AUT,2016-10-29,34.54
Austria,AUT,2016-10-30,36.8
Austria,AUT,2016-10-31,42.98
Austria,AUT,2016-11-01,34.49
Austria,AUT,2016-11-02,33.36
Austria,AUT,2016-11-03,45.49
Austria,AUT,2016-11-04,40.55
Austria,AUT,2016-11-05,38.66
Austria,AUT,2016-11-06,34.56
Austria,AUT,2016-11-07,39.13
Austria,AUT,2016-11-08,54.17
Austria,AUT,2016-11-09,48.21
Austria,AUT,2016-11-10,51.93
Austria,AUT,2016-11-11,47.79
Austria,AUT,2016-11-12,39.52
Austria,AUT,2016-11-13,37.02
Austria,AUT,2016-11-14,39.75
Austria,AUT,2016-11-15,40.37
Austria,AUT,2016-11-16,42.68
Austria,AUT,2016-11-17,32.84
Austria,AUT,2016-11-18,24.75
Austria,AUT,2016-11-19,31.55
Austria,AUT,2016-11-20,-0.32
Austria,AUT,2016-11-21,34.27
Austria,AUT,2016-11-22,38.78
Austria,AUT,2016-11-23,45.31
Austria,AUT,2016-11-24,39.83
Austria,AUT,2016-11-25,42.61
Austria,AUT,2016-11-26,38.24
Austria,AUT,2016-11-27,31.29
Austria,AUT,2016-11-28,41.19
Austria,AUT,2016-11-29,42.43
Austria,AUT,2016-11-30,35.97
Austria,AUT,2016-12-01,26.81
Austria,AUT,2016-12-02,39.67
Austria,AUT,2016-12-03,41.1
Austria,AUT,2016-12-04,38.26
Austria,AUT,2016-12-05,48.95
Austria,AUT,2016-12-06,58.13
Austria,AUT,2016-12-07,37.49
Austria,AUT,2016-12-08,30.63
Austria,AUT,2016-12-09,35.78
Austria,AUT,2016-12-10,32.39
Austria,AUT,2016-12-11,28.7
Austria,AUT,2016-12-12,47.95
Austria,AUT,2016-12-13,49.08
Austria,AUT,2016-12-14,60.14
Austria,AUT,2016-12-15,49.81
Austria,AUT,2016-12-16,53.39
Austria,AUT,2016-12-17,46.53
Austria,AUT,2016-12-18,43.86
Austria,AUT,2016-12-19,57.31
Austria,AUT,2016-12-20,48.59
Austria,AUT,2016-12-21,40.16
Austria,AUT,2016-12-22,45.01
Austria,AUT,2016-12-23,37.39
Austria,AUT,2016-12-24,7.27
Austria,AUT,2016-12-25,-1.94
Austria,AUT,2016-12-26,-12.79
Austria,AUT,2016-12-27,5.93
Austria,AUT,2016-12-28,42.16
Austria,AUT,2016-12-29,46.18
Austria,AUT,2016-12-30,42.0
